,feature_source,parameters,Full,KTH_brown_bread,KTH_corduroy,KTH_aluminium_foil,KTH_linen,KTH_wool,KTH_orange_peel,KTH_sponge,KTH_cracker,KTH_cork,KTH_cotton,KTH_styrofoam
0,lbp,P:4_R:256_method:uniform_n_bins:50,0.435,0.04878048780487805,0.4296875,0.2916666666666667,0.7198443579766537,0.3333333333333333,0.12,0.024390243902439025,0.058823529411764705,0.6481481481481481,0.45136186770428016,0.04878048780487805
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138, 6.283185307179586, 7.0685834705770345, 7.853981633974483]",0.7925,0.7073170731707317,0.73828125,0.8657407407407407,0.8871595330739299,0.8333333333333334,0.64,0.6829268292682927,0.5882352941176471,0.8009259259259259,0.7431906614785992,0.6585365853658537
0,lbp,P:4_R:256_method:uniform_n_bins:60,0.4325,0.024390243902439025,0.41015625,0.2916666666666667,0.7042801556420234,0.3333333333333333,0.16,0.04878048780487805,0.058823529411764705,0.6574074074074074,0.4591439688715953,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:70,0.431875,0.024390243902439025,0.421875,0.3148148148148148,0.6964980544747081,0.3194444444444444,0.16,0.04878048780487805,0.058823529411764705,0.6435185185185185,0.45525291828793774,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:80,0.43125,0.04878048780487805,0.4140625,0.3055555555555556,0.7120622568093385,0.3472222222222222,0.16,0.024390243902439025,0.058823529411764705,0.6296296296296297,0.4396887159533074,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:90,0.431875,0.024390243902439025,0.4375,0.2962962962962963,0.6964980544747081,0.3287037037037037,0.12,0.04878048780487805,0.058823529411764705,0.6481481481481481,0.4474708171206226,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:100,0.435,0.04878048780487805,0.44140625,0.3148148148148148,0.6926070038910506,0.32407407407407407,0.12,0.07317073170731707,0.058823529411764705,0.6574074074074074,0.4396887159533074,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:110,0.434375,0.024390243902439025,0.43359375,0.3055555555555556,0.7042801556420234,0.32407407407407407,0.12,0.024390243902439025,0.058823529411764705,0.6574074074074074,0.45136186770428016,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:120,0.431875,0.07317073170731707,0.41796875,0.30092592592592593,0.7276264591439688,0.3101851851851852,0.16,0.024390243902439025,0.058823529411764705,0.6527777777777778,0.4357976653696498,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:130,0.4275,0.024390243902439025,0.421875,0.2916666666666667,0.688715953307393,0.3194444444444444,0.16,0.024390243902439025,0.058823529411764705,0.6527777777777778,0.4474708171206226,0.07317073170731707
0,lbp,P:4_R:256_method:uniform_n_bins:140,0.43875,0.024390243902439025,0.453125,0.30092592592592593,0.708171206225681,0.3287037037037037,0.12,0.04878048780487805,0.058823529411764705,0.6620370370370371,0.4474708171206226,0.04878048780487805
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138, 6.283185307179586, 7.0685834705770345, 7.853981633974483, 8.63937979737193]",0.789375,0.7560975609756098,0.73828125,0.8564814814814815,0.8754863813229572,0.8240740740740741,0.72,0.6829268292682927,0.5882352941176471,0.7962962962962963,0.7431906614785992,0.6341463414634146
0,lbp,P:4_R:256_method:uniform_n_bins:150,0.435625,0.04878048780487805,0.421875,0.3101851851851852,0.7042801556420234,0.3333333333333333,0.12,0.04878048780487805,0.058823529411764705,0.6527777777777778,0.45525291828793774,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:160,0.434375,0.024390243902439025,0.421875,0.30092592592592593,0.7042801556420234,0.3472222222222222,0.12,0.04878048780487805,0.058823529411764705,0.6481481481481481,0.45136186770428016,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:170,0.42125,0.024390243902439025,0.4140625,0.3055555555555556,0.6770428015564203,0.3194444444444444,0.12,0.07317073170731707,0.058823529411764705,0.6435185185185185,0.42412451361867703,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:180,0.42875,0.04878048780487805,0.41796875,0.3055555555555556,0.6964980544747081,0.3055555555555556,0.12,0.04878048780487805,0.058823529411764705,0.6666666666666666,0.4396887159533074,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:190,0.433125,0.024390243902439025,0.4375,0.3055555555555556,0.7237354085603113,0.3194444444444444,0.12,0.04878048780487805,0.058823529411764705,0.6435185185185185,0.43190661478599224,0.04878048780487805
0,lbp,P:4_R:256_method:uniform_n_bins:200,0.42625,0.024390243902439025,0.4140625,0.28703703703703703,0.688715953307393,0.3333333333333333,0.12,0.024390243902439025,0.058823529411764705,0.6388888888888888,0.4591439688715953,0.04878048780487805
0,lbp,P:8_R:2_method:uniform_n_bins:10,0.845,0.8292682926829268,0.80859375,0.9814814814814815,0.8326848249027238,0.8055555555555556,0.72,0.8780487804878049,0.6470588235294118,0.9120370370370371,0.7898832684824902,0.8536585365853658
0,lbp,P:8_R:2_method:uniform_n_bins:20,0.845625,0.7804878048780488,0.82421875,0.9768518518518519,0.8132295719844358,0.8055555555555556,0.72,0.8780487804878049,0.6470588235294118,0.9259259259259259,0.8132295719844358,0.7560975609756098
0,lbp,P:8_R:2_method:uniform_n_bins:30,0.8425,0.7560975609756098,0.8203125,0.9722222222222222,0.8365758754863813,0.7916666666666666,0.76,0.8536585365853658,0.6470588235294118,0.9166666666666666,0.8015564202334631,0.7560975609756098
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138, 6.283185307179586, 7.0685834705770345, 7.853981633974483, 8.63937979737193, 9.42477796076938]",0.791875,0.7317073170731707,0.734375,0.8796296296296297,0.8754863813229572,0.8055555555555556,0.72,0.6829268292682927,0.6470588235294118,0.7916666666666666,0.754863813229572,0.6585365853658537
